scraped_at,url,review_date,author,rating,title,content
2026-08-23T05:25:36.434Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-25-mcg-softgels-1309927,27 november 2025,Pauline,5,Goed product,Belangrijk om te nemen. Goede prijs
2026-08-23T05:25:40.973Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-vloeibaar-10-mcg-400-ie-vitamine-d-druppels-druppels-283035,05 juli 2026,Anoniem,5,Extra ondersteuning,"Van jongs af aan geef ik mijn kinderen elke dag een druppeltje vitamine D3 bij het ontbijt, voor extra ondersteuning tijdens de koudere en minder zonnige dagen. Ik heb fysiek sterke en gezonde kinderen, ik geloof echt dat deze vitaminen daar aan bij hebben gedragen."
2026-08-23T05:25:40.973Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-vloeibaar-10-mcg-400-ie-vitamine-d-druppels-druppels-283035,26 juni 2026,Sofie,5,Vit d,Fijn dat het vloeibaar is!
2026-08-23T05:25:40.973Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-vloeibaar-10-mcg-400-ie-vitamine-d-druppels-druppels-283035,21 april 2026,Andrea,5,Makkelijk om Vitamine D te nemen,Makkelijk om Vitamine D te nemen
2026-08-23T05:25:40.973Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-vloeibaar-10-mcg-400-ie-vitamine-d-druppels-druppels-283035,19 april 2026,Anoniem,4,Handig in druppelvorm,Deze vitamine D druppels zijn erg handig en op basis van olijfolie.
2026-08-23T05:25:40.973Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-vloeibaar-10-mcg-400-ie-vitamine-d-druppels-druppels-283035,25 maart 2026,Anoniem,5,Makkelijk,Makkelijk in gebruik.
2026-08-23T05:25:43.652Z,https://www.vitaminstore.nl/product/now-vitamine-d3-druppels-1000ie-gel-254271,14 februari 2017,J,5,Goede prijs/kwaliteitsverhouding,Voor weinig geld hoog doseerbare D3. Makkelijk in te nemen.
2026-08-23T05:25:46.315Z,https://www.vitaminstore.nl/product/orthica-vitamine-d-25-tabletten-216819,15 maart 2026,Anoniem,5,Vitamine D top,Gebruik deze graag doen hun werk gewoon goed
2026-08-23T05:25:46.315Z,https://www.vitaminstore.nl/product/orthica-vitamine-d-25-tabletten-216819,14 november 2024,Mirjam,4,Super goed merk,Prima manier om je vitamine D aan te vullen
2026-08-23T05:25:46.315Z,https://www.vitaminstore.nl/product/orthica-vitamine-d-25-tabletten-216819,03 november 2017,Edie,5,Weerstand,Goede aanvulling in de winter ivm minder zon uren
2026-08-23T05:25:46.315Z,https://www.vitaminstore.nl/product/orthica-vitamine-d-25-tabletten-216819,20 juni 2017,Pauline,5,Minder ziek,Sinds ik vitamine D slik ben ik veel minder vaak ziek!
2026-08-23T05:25:46.315Z,https://www.vitaminstore.nl/product/orthica-vitamine-d-25-tabletten-216819,28 mei 2017,Kim,5,Goede aanvulling,Deze tabletten zijn makkelijk door te slikken omdat ze klein zijn. Ze zijn voor mij een goede aanvulling voor mijn vitamine D gehalte. Hiermee hou ik het goed op peil
2026-08-23T05:25:48.974Z,https://www.vitaminstore.nl/product/vegan-d3-25mcg-vloeibaar-1307254,27 juni 2025,Ischa,4,Handig,Neutrale smaak en makkelijk door yoghurt of havermout te mengen als aanvulling in de donkere maanden.
2026-08-23T05:25:48.974Z,https://www.vitaminstore.nl/product/vegan-d3-25mcg-vloeibaar-1307254,05 juni 2025,Anna,5,Favoriete D3,"Dit is de fijnste Vit D voor vegans. Je kunt het zelf doseren omdat er een pipet in zit. Dus in het begin een hogere dosis en later kun je deze aanpassen naar eigen wens. Ik gebruik het  het hele jaar door!
Ook nog heel betaalbaar!"
2026-08-23T05:25:48.974Z,https://www.vitaminstore.nl/product/vegan-d3-25mcg-vloeibaar-1307254,23 april 2025,Caithlin,5,top,"Makkelijk in te nemen vloeistof, perfect voor veganisten. Ondersteunt het immuunsysteem en voelt goed aan."
2026-08-23T05:25:48.974Z,https://www.vitaminstore.nl/product/vegan-d3-25mcg-vloeibaar-1307254,07 maart 2025,Anoniem,4,Goed alleen snel op,Jammer dat je veel druppels moet innemen om de juiste hoeveelheid te krijgen. Smaak is fijn
2026-08-23T05:25:48.974Z,https://www.vitaminstore.nl/product/vegan-d3-25mcg-vloeibaar-1307254,25 februari 2025,sarah,5,Extra d3,"Bijna iedereen heeft extra d3 nodig, dus ik geef deze druppels ook aan mijn kinderen"
2026-08-23T05:25:51.626Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-10-ug400-iu-vitamine-d-uit-visleverolie-softgels-601,16 februari 2026,M.,5,Heel Goed,"Goed product vitamine-D net zoals meerdere producten van
dit merk."
2026-08-23T05:25:51.626Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-10-ug400-iu-vitamine-d-uit-visleverolie-softgels-601,18 januari 2026,Anoniem,5,Fijne softgels,Precies goed qua formaat en substantie.
2026-08-23T05:25:51.626Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-10-ug400-iu-vitamine-d-uit-visleverolie-softgels-601,25 mei 2025,Marja,5,Goede vitamine,Deze gebruik ik om mijn vitamine D3 op peil te houden
2026-08-23T05:25:51.626Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-10-ug400-iu-vitamine-d-uit-visleverolie-softgels-601,07 mei 2025,J.K.,5,Alles top!,"ik heb al eerder gezegd: alles is top, goede info en anelle levering altijd De inpakker verdient een bonus, zelden met goede zorg en  zo goed verpakte producten ontvangen en is geen incident maar altijd zo!"
2026-08-23T05:25:51.626Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-10-ug400-iu-vitamine-d-uit-visleverolie-softgels-601,20 januari 2025,Anoniem,5,Prima product,Ik gebruik het al jaren. Makkelijk te slikken
2026-08-23T05:25:54.183Z,https://www.vitaminstore.nl/product/viridian-viridikid-vegan-vitamin-d3-400-iu-10ug-druppels-252311,28 januari 2025,Jacqueline,5,Fijne vitamines,"Ik geef deze vitamine al jaren aan mijn dochter van net 4. Ze vind ze heerlijk en gemakkelijk te doseren. Het laatste beetje is soms wel lastig er uit te krijgen, maar dan doen we hem in een klein bakje."
2026-08-23T05:25:54.183Z,https://www.vitaminstore.nl/product/viridian-viridikid-vegan-vitamin-d3-400-iu-10ug-druppels-252311,13 september 2024,Bianca,5,Goed!,"Goed opneembare vitamine D druppels, mijn zoontje vindt ze erg lekker."
2026-08-23T05:25:54.183Z,https://www.vitaminstore.nl/product/viridian-viridikid-vegan-vitamin-d3-400-iu-10ug-druppels-252311,25 juli 2022,Isabella,5,Smaakt lekker,Onze baby 8mnd doet lachend haar mond open als ze het flesje ziet of hoort
2026-08-23T05:25:54.183Z,https://www.vitaminstore.nl/product/viridian-viridikid-vegan-vitamin-d3-400-iu-10ug-druppels-252311,04 juli 2022,Anoniem,5,Zeer tevreden over dit product,"Ik geef mijn zoon deze druppels al maanden, wat mij betreft koop ik alleen nog maar deze. 
Voor mezelf gebruik ik ook de versie van volwassenen. Donkere glazen fles, smaakt lekker, handig pipetje en vegan. Geen onnodige ingrediënten.
Sowieso vind ik alle producten van Viridian top (heeft mijn voorkeur nog boven Solgar bijv)."
